,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Title-Tokens,Author-Tokens,Publisher-Tokens
0,0002005018,Clara Callan,richard bruce wright,2001,HarperFlamingo Canada,"['clara', 'callan']","['richard', 'bruce', 'wright']","['harperflamingo', 'canada']"
1,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,gina bari kolata,1999,Farrar Straus Giroux,"['flu', 'story', 'great', 'influenza', 'pandemic', '1918', 'search', 'virus', 'caused']","['gina', 'bari', 'kolata']","['farrar', 'straus', 'giroux']"
2,0399135782,The Kitchen God's Wife,amy tan,1991,Putnam Pub Group,"['kitchen', 'god', 'wife']","['amy', 'tan']","['putnam', 'pub', 'group']"
3,0440234743,The Testament,john grisham,1999,Dell,['testament'],"['john', 'grisham']",['dell']
4,0452264464,Beloved (Plume Contemporary Fiction),toni morrison,1994,Plume,"['beloved', 'plume', 'contemporary', 'fiction']","['toni', 'morrison']",['plume']
5,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,the onion,1999,Three Rivers Press,"['dumb', 'century', 'onion', 'present', '100', 'year', 'headline', 'america', 'finest', 'news', 'source']","['the', 'onion']","['three', 'river']"
6,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,celia brooks brown,2001,Ryland Peters & Small Ltd,"['new', 'vegetarian', 'bold', 'beautiful', 'recipe', 'every', 'occasion']","['celia', 'brooks', 'brown']","['ryland', 'peter', 'small', 'ltd']"
7,0971880107,Wild Animus,rich shapero,2004,Too Far,"['wild', 'animus']","['rich', 'shapero']",['far']
8,0345402871,Airframe,michael crichton,1997,Ballantine Books,['airframe'],"['michael', 'crichton']",['ballantine']
9,0345417623,Timeline,michael crichton,2000,Ballantine Books,['timeline'],"['michael', 'crichton']",['ballantine']
10,0375759778,Prague : A Novel,arthur phillips,2003,Random House Trade Paperbacks,"['prague', 'novel']","['arthur', 'phillips']","['random', 'house', 'trade']"
11,0375406328,Lying Awake,mark salzman,2000,Alfred A. Knopf,"['lying', 'awake']","['mark', 'salzman']","['alfred', 'knopf']"
12,0446310786,To Kill a Mockingbird,harper lee,1988,Little Brown & Company,"['kill', 'mockingbird']","['harper', 'lee']","['little', 'brown', 'company']"
13,0449005615,Seabiscuit: An American Legend,laura hillenbrand,2002,Ballantine Books,"['seabiscuit', 'american', 'legend']","['laura', 'hillenbrand']",['ballantine']
14,0060168013,Pigs in Heaven,barbara kingsolver,1993,Harpercollins,"['pig', 'heaven']","['barbara', 'kingsolver']",['harpercollins']
15,0061099686,Downtown,anne rivers siddons,1995,HarperTorch,['downtown'],"['anne', 'rivers', 'siddons']",['harpertorch']
16,0553582909,Icebound,dean r koontz,2000,Bantam Books,['icebound'],"['dean', 'r', 'koontz']",['bantam']
17,0671888587,I'll Be Seeing You,mary higgins clark,1994,Pocket,"['ill', 'seeing']","['mary', 'higgins', 'clark']",['pocket']
18,0553582747,From the Corner of His Eye,dean koontz,2001,Bantam Books,"['corner', 'eye']","['dean', 'koontz']",['bantam']
19,0425182908,Isle of Dogs,patricia cornwell,2002,Berkley Publishing Group,"['isle', 'dog']","['patricia', 'cornwell']","['berkley', 'group']"
20,042518630X,Purity in Death,jd robb,2002,Berkley Publishing Group,"['purity', 'death']","['jd', 'robb']","['berkley', 'group']"
21,0440223571,This Year It Will Be Different: And Other Stories,maeve binchy,1997,Dell,"['year', 'different', 'story']","['maeve', 'binchy']",['dell']
22,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),tim lahaye,2000,Tyndale House Publishers,"['left', 'behind', 'novel', 'earth', 'last', 'day', 'left', 'behind', '1']","['tim', 'lahaye']","['tyndale', 'house', 'publisher']"
23,0440225701,The Street Lawyer,john grisham,1999,Dell,"['street', 'lawyer']","['john', 'grisham']",['dell']
24,0060914068,"Love, Medicine and Miracles",md bernie s siegel,1988,HarperCollins Publishers,"['love', 'medicine', 'miracle']","['md', 'bernie', 's', 'siegel']","['harpercollins', 'publisher']"
25,0380715899,A Soldier of the Great War,mark helprin,1992,Avon Books,"['soldier', 'great', 'war']","['mark', 'helprin']",['avon']
26,0671623249,LONESOME DOVE,larry mcmurtry,1986,Pocket,"['lonesome', 'dove']","['larry', 'mcmurtry']",['pocket']
27,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),suzanne fisher staples,1991,Laurel Leaf,"['shabanu', 'daughter', 'wind', 'border', 'trilogy']","['suzanne', 'fisher', 'staples']","['laurel', 'leaf']"
28,0679865691,Haveli (Laurel Leaf Books),suzanne fisher staples,1995,Laurel Leaf,"['haveli', 'laurel', 'leaf', 'book']","['suzanne', 'fisher', 'staples']","['laurel', 'leaf']"
29,042511774X,Breathing Lessons,anne tyler,1994,Berkley Publishing Group,"['breathing', 'lesson']","['anne', 'tyler']","['berkley', 'group']"
30,0804106304,The Joy Luck Club,amy tan,1994,Prentice Hall (K-12),"['joy', 'luck', 'club']","['amy', 'tan']","['prentice', 'hall', 'k12']"
31,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),thomas hardy,1997,NTC/Contemporary Publishing Company,"['te', 'durbervilles', 'wordsworth', 'classic']","['thomas', 'hardy']","['ntccontemporary', 'company']"
32,0060938412,The Accidental Virgin,valerie frankel,2003,Avon Trade,"['accidental', 'virgin']","['valerie', 'frankel']","['avon', 'trade']"
33,0140067477,The Tao of Pooh,benjamin hoff,1983,Penguin Books,"['tao', 'pooh']","['benjamin', 'hoff']",['penguin']
34,0345465083,Seabiscuit,laura hillenbrand,2003,Ballantine Books,['seabiscuit'],"['laura', 'hillenbrand']",['ballantine']
35,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),h jackson brown,1991,Thomas Nelson,"['life', 'little', 'instruction', 'book', 'life', 'little', 'instruction', 'book']","['h', 'jackson', 'brown']","['thomas', 'nelson']"
36,0441783589,Starship Troopers,robert a heinlein,1987,Ace Books,"['starship', 'trooper']","['robert', 'a', 'heinlein']",['ace']
37,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",philip pullman,1988,Laurel Leaf,"['ruby', 'smoke', 'sally', 'lockhart', 'trilogy', 'book', '1']","['philip', 'pullman']","['laurel', 'leaf']"
38,0375410538,Anil's Ghost,michael ondaatje,2000,Knopf,"['anil', 'ghost']","['michael', 'ondaatje']",['knopf']
39,087113375X,Modern Manners: An Etiquette Book for Rude People,pj orourke,1990,Atlantic Monthly Press,"['modern', 'manner', 'etiquette', 'book', 'rude', 'people']","['pj', 'orourke']","['atlantic', 'monthly']"
40,0340767936,Turning Thirty,mike gayle,2000,Hodder & Stoughton General Division,"['turning', 'thirty']","['mike', 'gayle']","['hodder', 'stoughton', 'general', 'division']"
41,0316769487,The Catcher in the Rye,jd salinger,1991,"Little, Brown","['catcher', 'rye']","['jd', 'salinger']","['little', 'brown']"
42,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),jrr tolkien,2001,Minotauro,"['el', 'senor', 'de', 'los', 'anillos', 'la', 'comunidad', 'del', 'anillo', 'lord', 'ring', 'spanish']","['jrr', 'tolkien']",['minotauro']
43,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),jrr tolkien,2001,Minotauro,"['el', 'senor', 'de', 'los', 'anillos', 'la', 'do', 'torres', 'lord', 'ring']","['jrr', 'tolkien']",['minotauro']
44,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",jrr tolkien,2001,Distribooks,"['el', 'senor', 'de', 'los', 'anillos', 'el', 'retorno', 'del', 'rey', 'tolkien', 'j', 'r', 'r', 'lord', 'ring', '3']","['jrr', 'tolkien']",['distribooks']
45,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,john berendt,1994,Random House,"['midnight', 'garden', 'good', 'evil', 'savannah', 'story']","['john', 'berendt']","['random', 'house']"
46,0671867156,Pretend You Don't See Her,mary higgins clark,1998,Pocket,"['pretend', 'dont', 'see']","['mary', 'higgins', 'clark']",['pocket']
47,0312252617,Fast Women,jennifer crusie,2001,St. Martin's Press,"['fast', 'woman']","['jennifer', 'crusie']","['st', 'martin']"
48,0312261594,Female Intelligence,jane heller,2001,St. Martin's Press,"['female', 'intelligence']","['jane', 'heller']","['st', 'martin']"
49,0316748641,Pasquale's Nose: Idle Days in an Italian Town,michael rips,2002,Back Bay Books,"['pasquales', 'nose', 'idle', 'day', 'italian', 'town']","['michael', 'rips']","['back', 'bay']"
50,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",robert t kiyosaki,2000,Warner Books,"['rich', 'dad', 'poor', 'dad', 'rich', 'teach', 'kid', 'moneythat', 'poor', 'middle', 'class']","['robert', 't', 'kiyosaki']",['warner']
51,0451166892,The Pillars of the Earth,ken follett,1996,Signet Book,"['pillar', 'earth']","['ken', 'follett']","['signet', 'book']"
52,067976397X,Corelli's Mandolin : A Novel,louis de bernieres,1995,Vintage,"['corelli', 'mandolin', 'novel']","['louis', 'de', 'bernieres']",['vintage']
53,0786868716,The Five People You Meet in Heaven,mitch albom,2003,Hyperion,"['five', 'people', 'meet', 'heaven']","['mitch', 'albom']",['hyperion']
54,0671864769,Relics (Star Trek: The Next Generation),michael jan friedman,1992,Star Trek,"['relic', 'star', 'trek', 'next', 'generation']","['michael', 'jan', 'friedman']","['star', 'trek']"
55,0312953453,Blood Oath,david morrell,1994,St. Martin's Press,"['blood', 'oath']","['david', 'morrell']","['st', 'martin']"
56,0446608653,The Alibi,sandra brown,2000,Warner Books,['alibi'],"['sandra', 'brown']",['warner']
57,0446612545,The Beach House,james patterson,2003,Warner Books,"['beach', 'house']","['james', 'patterson']",['warner']
58,0446612618,A Kiss Remembered,sandra brown,2003,Warner Books,"['kiss', 'remembered']","['sandra', 'brown']",['warner']
59,0451208080,The Short Forever,stuart woods,2003,Signet Book,"['short', 'forever']","['stuart', 'woods']","['signet', 'book']"
60,0553584383,Dead Aim,iris johansen,2004,Bantam Books,"['dead', 'aim']","['iris', 'johansen']",['bantam']
61,0671027360,Angels & Demons,dan brown,2001,Pocket Star,"['angel', 'demon']","['dan', 'brown']","['pocket', 'star']"
62,0812575954,The Deal,joe hutsko,2000,Tor Books (Mm),['deal'],"['joe', 'hutsko']","['tor', 'mm']"
63,0316735736,All He Ever Wanted: A Novel,anita shreve,2004,Back Bay Books,"['ever', 'wanted', 'novel']","['anita', 'shreve']","['back', 'bay']"
64,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",ann rule,2002,Pocket,"['every', 'breath', 'take', 'true', 'story', 'obsession', 'revenge', 'murder']","['ann', 'rule']",['pocket']
65,0380619458,The Mosquito Coast,paul theroux,1990,Harper Mass Market Paperbacks (Mm),"['mosquito', 'coast']","['paul', 'theroux']","['harper', 'mass', 'market', 'mm']"
66,0671042858,The Girl Who Loved Tom Gordon,stephen king,2000,Pocket,"['girl', 'loved', 'tom', 'gordon']","['stephen', 'king']",['pocket']
67,0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,ben mezrich,2003,Free Press,"['bringing', 'house', 'inside', 'story', 'six', 'student', 'took', 'vega', 'million']","['ben', 'mezrich']",['free']
68,0425184226,The Sum of All Fears,tom clancy,2002,Berkley Publishing Group,"['sum', 'fear']","['tom', 'clancy']","['berkley', 'group']"
69,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,dana reeve,1999,Random House,"['care', 'package', 'letter', 'christopher', 'reeve', 'stranger', 'friend']","['dana', 'reeve']","['random', 'house']"
70,0060929790,One Hundred Years of Solitude,gabriel garcia marquez,1998,Perennial,"['one', 'hundred', 'year', 'solitude']","['gabriel', 'garcia', 'marquez']",['perennial']
71,0060976845,Little Altars Everywhere: A Novel,rebecca wells,1996,Perennial,"['little', 'altar', 'everywhere', 'novel']","['rebecca', 'wells']",['perennial']
72,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),tony hillerman,1992,HarperTorch,"['coyote', 'wait', 'joe', 'leaphornjim', 'chee', 'novel']","['tony', 'hillerman']",['harpertorch']
73,0671004573,Before I Say Good-Bye,mary higgins clark,2001,Pocket,"['say', 'goodbye']","['mary', 'higgins', 'clark']",['pocket']
74,0446601640,Slow Waltz in Cedar Bend,robert james waller,1994,Warner Books,"['slow', 'waltz', 'cedar', 'bend']","['robert', 'james', 'waller']",['warner']
75,038572179X,Atonement : A Novel,ian mcewan,2003,Anchor,"['atonement', 'novel']","['ian', 'mcewan']",['anchor']
76,0451410319,Hush,anne frasier,2002,Onyx Books,['hush'],"['anne', 'frasier']",['onyx']
77,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",kay hooper,2002,Bantam Books,"['whisper', 'evil', 'hooper', 'kay', 'evil', 'trilogy']","['kay', 'hooper']",['bantam']
78,0380778556,Rebecca,daphne du maurier,1994,Avon,['rebecca'],"['daphne', 'du', 'maurier']",['avon']
79,0451525221,Scarlet Letter,nathaniel hawthorne,1993,Signet Book,"['scarlet', 'letter']","['nathaniel', 'hawthorne']","['signet', 'book']"
80,0385336772,Diary of a Mad Mom-To-Be,laura wolf,2003,Delta,"['diary', 'mad', 'momtobe']","['laura', 'wolf']",['delta']
81,0440949424,Locked in Time (Laurel Leaf Books),lois duncan,1986,Laure Leaf,"['locked', 'time', 'laurel', 'leaf', 'book']","['lois', 'duncan']","['laure', 'leaf']"
82,0140252800,The Brimstone Wedding,barbara vine,1997,Penguin Books Ltd,"['brimstone', 'wedding']","['barbara', 'vine']","['penguin', 'ltd']"
83,0812575482,Through Wolf's Eyes (Wolf),jane lindskold,2002,Tor Fantasy,"['wolf', 'eye', 'wolf']","['jane', 'lindskold']","['tor', 'fantasy']"
84,044651747X,Puerto Vallarta Squeeze,robert james waller,1995,Warner Books,"['puerto', 'vallarta', 'squeeze']","['robert', 'james', 'waller']",['warner']
85,0060801263,Tree Grows In Brooklyn,betty smith,1988,Harpercollins Publisher,"['tree', 'grows', 'brooklyn']","['betty', 'smith']","['harpercollins', 'publisher']"
86,0446527165,Wish You Well,david baldacci,2000,Warner Books,"['wish', 'well']","['david', 'baldacci']",['warner']
87,0671461494,The Hitchhiker's Guide to the Galaxy,douglas adams,1982,Pocket,"['hitchhiker', 'guide', 'galaxy']","['douglas', 'adams']",['pocket']
88,0385337639,Crow Lake (Today Show Book Club #7),mary lawson,2003,Delta,"['crow', 'lake', 'today', 'show', 'book', 'club', '7']","['mary', 'lawson']",['delta']
89,039575514X,My Antonia,willa cather,1995,Mariner Books,['antonia'],"['willa', 'cather']",['mariner']
90,0451206673,Pen Pals,olivia goldsmith,2002,Signet Book,"['pen', 'pal']","['olivia', 'goldsmith']","['signet', 'book']"
91,0330332775,Bridget Jones's Diary,helen fielding,1997,Picador (UK),"['bridget', 'jones', 'diary']","['helen', 'fielding']","['picador', 'uk']"
92,0486284735,Pride and Prejudice (Dover Thrift Editions),jane austen,1995,Dover Publications,"['pride', 'prejudice', 'dover', 'thrift', 'edition']","['jane', 'austen']","['dover', 'publication']"
93,0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),lilian jackson braun,1994,Putnam Pub Group,"['cat', 'came', 'breakfast', 'cat', 'hardcover']","['lilian', 'jackson', 'braun']","['putnam', 'pub', 'group']"
94,0345354931,Night Mare (Xanth Novels (Paperback)),piers anthony,1990,Del Rey Books,"['night', 'mare', 'xanth', 'novel']","['piers', 'anthony']","['del', 'rey']"
95,0553278223,The Martian Chronicles,ray bradbury,1984,Spectra,"['martian', 'chronicle']","['ray', 'bradbury']",['spectrum']
96,3257208626,Fahrenheit 451,ray bradbury,1994,Distribooks Inc,"['fahrenheit', '451']","['ray', 'bradbury']","['distribooks', 'inc']"
97,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,paolo coelho,2002,Distribooks,"['veronika', 'deschliesst', 'zu', 'sterben', 'vernika', 'decides', 'die']","['paolo', 'coelho']",['distribooks']
98,3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,sue townsend,2002,Heyne,"['die', 'cappuccino', 'jahre', 'au', 'dem', 'tagebuch', 'de', 'adrian', 'mole']","['sue', 'townsend']",['heyne']
99,3498020862,Die Korrekturen.,jonathan franzen,2002,"Rowohlt, Reinbek","['die', 'korrekturen']","['jonathan', 'franzen']","['rowohlt', 'reinbek']"
100,0060977493,The God of Small Things,arundhati roy,1998,Perennial,"['god', 'small', 'thing']","['arundhati', 'roy']",['perennial']
101,0316602906,The Big Bad Wolf: A Novel,james patterson,2003,"Little, Brown","['big', 'bad', 'wolf', 'novel']","['james', 'patterson']","['little', 'brown']"
102,0316693006,Four Blind Mice,james patterson,2002,"Little, Brown","['four', 'blind', 'mouse']","['james', 'patterson']","['little', 'brown']"
103,0345311396,Private Screening,richard north patterson,1994,Ballantine Books,"['private', 'screening']","['richard', 'north', 'patterson']",['ballantine']
104,0345378490,Congo,michael crichton,1995,Ballantine Books,['congo'],"['michael', 'crichton']",['ballantine']
105,0345404793,Protect and Defend,richard north patterson,2001,Ballantine Books,"['protect', 'defend']","['richard', 'north', 'patterson']",['ballantine']
106,0375400117,Memoirs of a Geisha,arthur golden,1997,Alfred A. Knopf,"['memoir', 'geisha']","['arthur', 'golden']","['alfred', 'knopf']"
107,0375705856,Plainsong (Vintage Contemporaries),kent haruf,2000,Vintage,"['plainsong', 'vintage', 'contemporary']","['kent', 'haruf']",['vintage']
108,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),patricia d cornwell,1992,Avon,"['body', 'evidence', 'kay', 'scarpetta', 'mystery']","['patricia', 'd', 'cornwell']",['avon']
109,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),patricia d cornwell,1993,Avon,"['remains', 'kay', 'scarpetta', 'mystery']","['patricia', 'd', 'cornwell']",['avon']
110,038076654X,Petals on the River,kathleen e woodiwiss,1997,Avon Trade,"['petal', 'river']","['kathleen', 'e', 'woodiwiss']","['avon', 'trade']"
111,0380807866,The Elusive Flame,kathleen e woodiwiss,1999,Avon,"['elusive', 'flame']","['kathleen', 'e', 'woodiwiss']",['avon']
112,0385316895,Legacy of Silence,belva plain,1998,Bantam Dell Pub Group,"['legacy', 'silence']","['belva', 'plain']","['bantam', 'dell', 'pub', 'group']"
113,0385497466,The Brethren,john grisham,2000,Doubleday,['brother'],"['john', 'grisham']",['doubleday']
114,0385508042,The King of Torts,john grisham,2003,Doubleday Books,"['king', 'tort']","['john', 'grisham']",['doubleday']
115,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,mark haddon,2003,Doubleday,"['curious', 'incident', 'dog', 'nighttime', 'novel']","['mark', 'haddon']",['doubleday']
116,0385511612,Bleachers,john grisham,2003,Doubleday,['bleacher'],"['john', 'grisham']",['doubleday']
117,0385730586,Sisterhood of the Traveling Pants,ann brashares,2003,Delacorte Books for Young Readers,"['sisterhood', 'traveling', 'pant']","['ann', 'brashares']","['delacorte', 'young', 'reader']"
118,0425164403,Only Love (Magical Love),erich segal,1998,Berkley Publishing Group,"['love', 'magical', 'love']","['erich', 'segal']","['berkley', 'group']"
119,0446605484,Roses Are Red (Alex Cross Novels),james patterson,2001,Warner Vision,"['rose', 'red', 'alex', 'cross', 'novel']","['james', 'patterson']","['warner', 'vision']"
120,0446610399,The Rescue,nicholas sparks,2001,Warner Books,['rescue'],"['nicholas', 'sparks']",['warner']
121,0449006522,Manhattan Hunt Club,john saul,2002,Ballantine Books,"['manhattan', 'hunt', 'club']","['john', 'saul']",['ballantine']
122,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),lorna landvik,1996,Ballantine Books,"['patty', 'janes', 'house', 'curl', 'ballantine', 'reader', 'circle']","['lorna', 'landvik']",['ballantine']
123,0451162072,Pet Sematary,stephen king,1994,Signet Book,"['pet', 'sematary']","['stephen', 'king']","['signet', 'book']"
124,0451186648,Silent Snow,steve thayer,2000,Signet Book,"['silent', 'snow']","['steve', 'thayer']","['signet', 'book']"
125,0452282152,Girl with a Pearl Earring,tracy chevalier,2001,Plume Books,"['girl', 'pearl', 'earring']","['tracy', 'chevalier']",['plume']
126,051513290X,Summer of Storms,judith kelman,2002,Jove Books,"['summer', 'storm']","['judith', 'kelman']",['jove']
127,0553580388,The Patient,michael palmer,2001,Bantam Books,['patient'],"['michael', 'palmer']",['bantam']
128,0590629719,Clifford's Sports Day,norman bridwell,1996,Scholastic,"['cliffords', 'sport', 'day']","['norman', 'bridwell']",['scholastic']
129,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),patricia cornwell,1998,Pocket,"['postmortem', 'kay', 'scarpetta', 'mystery']","['patricia', 'cornwell']",['pocket']
130,0671027387,Deception Point,dan brown,2002,Pocket,"['deception', 'point']","['dan', 'brown']",['pocket']
131,0684848783,Tis : A Memoir,frank mccourt,1999,Scribner,"['ti', 'memoir']","['frank', 'mccourt']",['scribner']
132,0743486226,Angels & Demons,dan brown,2003,Atria,"['angel', 'demon']","['dan', 'brown']",['atrium']
133,0786863986,A Monk Swimming,malachy mccourt,1998,Hyperion,"['monk', 'swimming']","['malachy', 'mccourt']",['hyperion']
134,0804117934,The Silent Cry (William Monk Novels (Paperback)),anne perry,1998,Ivy Books,"['silent', 'cry', 'william', 'monk', 'novel']","['anne', 'perry']",['ivy']
135,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),alexander mccall smith,2004,Anchor,"['kalahari', 'typing', 'school', 'men', '1', 'lady', 'detective', 'agency']","['alexander', 'mccall', 'smith']",['anchor']
136,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),jack canfield,1993,Health Communications,"['chicken', 'soup', 'soul', 'chicken', 'soup', 'soul']","['jack', 'canfield']","['health', 'communication']"
137,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,gregory maguire,1996,Regan Books,"['wicked', 'life', 'time', 'wicked', 'witch', 'west']","['gregory', 'maguire']",['regan']
138,0151008116,Life of Pi,yann martel,2002,Harcourt,"['life', 'pi']","['yann', 'martel']",['harcourt']
139,0375704965,A Judgement in Stone,ruth rendell,2000,Vintage Books USA,"['judgement', 'stone']","['ruth', 'rendell']","['vintage', 'usa']"
140,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,al franken,2003,Dutton Books,"['lie', 'lying', 'liar', 'tell', 'fair', 'balanced', 'look', 'right']","['al', 'franken']",['dutton']
141,0804111359,Secret History,donna tartt,1993,Ballantine Books,"['secret', 'history']","['donna', 'tartt']",['ballantine']
142,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),jack canfield,1996,Health Communications,"['chicken', 'soup', 'woman', 'soul', 'chicken', 'soup', 'soul', 'series', 'paper']","['jack', 'canfield']","['health', 'communication']"
143,0316782505,The Weight of Water,anita shreve,2001,"Little, Brown","['weight', 'water']","['anita', 'shreve']","['little', 'brown']"
144,006102063X,Moving Pictures (Discworld Novels (Paperback)),terry pratchett,2002,HarperTorch,"['moving', 'picture', 'discworld', 'novel']","['terry', 'pratchett']",['harpertorch']
