ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0002005018,Clara Callan,richard bruce wright,2001,HarperFlamingo Canada
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,gina bari kolata,1999,Farrar Straus Giroux
0399135782,The Kitchen God's Wife,amy tan,1991,Putnam Pub Group
0440234743,The Testament,john grisham,1999,Dell
0452264464,Beloved (Plume Contemporary Fiction),toni morrison,1994,Plume
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,the onion,1999,Three Rivers Press
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,celia brooks brown,2001,Ryland Peters & Small Ltd
0971880107,Wild Animus,rich shapero,2004,Too Far
0345402871,Airframe,michael crichton,1997,Ballantine Books
0345417623,Timeline,michael crichton,2000,Ballantine Books
0375759778,Prague : A Novel,arthur phillips,2003,Random House Trade Paperbacks
0375406328,Lying Awake,mark salzman,2000,Alfred A. Knopf
0446310786,To Kill a Mockingbird,harper lee,1988,Little Brown & Company
0449005615,Seabiscuit: An American Legend,laura hillenbrand,2002,Ballantine Books
0060168013,Pigs in Heaven,barbara kingsolver,1993,Harpercollins
0061099686,Downtown,anne rivers siddons,1995,HarperTorch
0553582909,Icebound,dean r koontz,2000,Bantam Books
0671888587,I'll Be Seeing You,mary higgins clark,1994,Pocket
0553582747,From the Corner of His Eye,dean koontz,2001,Bantam Books
0425182908,Isle of Dogs,patricia cornwell,2002,Berkley Publishing Group
042518630X,Purity in Death,jd robb,2002,Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,maeve binchy,1997,Dell
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),tim lahaye,2000,Tyndale House Publishers
0440225701,The Street Lawyer,john grisham,1999,Dell
0060914068,"Love, Medicine and Miracles",md bernie s siegel,1988,HarperCollins Publishers
0380715899,A Soldier of the Great War,mark helprin,1992,Avon Books
0671623249,LONESOME DOVE,larry mcmurtry,1986,Pocket
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),suzanne fisher staples,1991,Laurel Leaf
0679865691,Haveli (Laurel Leaf Books),suzanne fisher staples,1995,Laurel Leaf
042511774X,Breathing Lessons,anne tyler,1994,Berkley Publishing Group
0804106304,The Joy Luck Club,amy tan,1994,Prentice Hall (K-12)
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),thomas hardy,1997,NTC/Contemporary Publishing Company
0060938412,The Accidental Virgin,valerie frankel,2003,Avon Trade
0140067477,The Tao of Pooh,benjamin hoff,1983,Penguin Books
0345465083,Seabiscuit,laura hillenbrand,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),h jackson brown,1991,Thomas Nelson
0441783589,Starship Troopers,robert a heinlein,1987,Ace Books
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",philip pullman,1988,Laurel Leaf
0375410538,Anil's Ghost,michael ondaatje,2000,Knopf
087113375X,Modern Manners: An Etiquette Book for Rude People,pj orourke,1990,Atlantic Monthly Press
0340767936,Turning Thirty,mike gayle,2000,Hodder & Stoughton General Division
0316769487,The Catcher in the Rye,jd salinger,1991,"Little, Brown"
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),jrr tolkien,2001,Minotauro
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),jrr tolkien,2001,Minotauro
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",jrr tolkien,2001,Distribooks
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,john berendt,1994,Random House
0671867156,Pretend You Don't See Her,mary higgins clark,1998,Pocket
0312252617,Fast Women,jennifer crusie,2001,St. Martin's Press
0312261594,Female Intelligence,jane heller,2001,St. Martin's Press
0316748641,Pasquale's Nose: Idle Days in an Italian Town,michael rips,2002,Back Bay Books
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",robert t kiyosaki,2000,Warner Books
0451166892,The Pillars of the Earth,ken follett,1996,Signet Book
067976397X,Corelli's Mandolin : A Novel,louis de bernieres,1995,Vintage
0786868716,The Five People You Meet in Heaven,mitch albom,2003,Hyperion
0671864769,Relics (Star Trek: The Next Generation),michael jan friedman,1992,Star Trek
0312953453,Blood Oath,david morrell,1994,St. Martin's Press
0446608653,The Alibi,sandra brown,2000,Warner Books
0446612545,The Beach House,james patterson,2003,Warner Books
