ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0002005018,clara callan,richard bruce wright,2001,HarperFlamingo Canada
0374157065,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it,gina bari kolata,1999,Farrar Straus Giroux
0399135782,the kitchen gods wife,amy tan,1991,Putnam Pub Group
0440234743,the testament,john grisham,1999,Dell
0452264464,beloved plume contemporary fiction,toni morrison,1994,Plume
0609804618,our dumb century the onion presents 100 years of headlines from americas finest news source,the onion,1999,Three Rivers Press
1841721522,new vegetarian bold and beautiful recipes for every occasion,celia brooks brown,2001,Ryland Peters & Small Ltd
0971880107,wild animus,rich shapero,2004,Too Far
0345402871,airframe,michael crichton,1997,Ballantine Books
0345417623,timeline,michael crichton,2000,Ballantine Books
0375759778,prague  a novel,arthur phillips,2003,Random House Trade Paperbacks
0375406328,lying awake,mark salzman,2000,Alfred A. Knopf
0446310786,to kill a mockingbird,harper lee,1988,Little Brown & Company
0449005615,seabiscuit an american legend,laura hillenbrand,2002,Ballantine Books
0060168013,pigs in heaven,barbara kingsolver,1993,Harpercollins
0061099686,downtown,anne rivers siddons,1995,HarperTorch
0553582909,icebound,dean r koontz,2000,Bantam Books
0671888587,ill be seeing you,mary higgins clark,1994,Pocket
0553582747,from the corner of his eye,dean koontz,2001,Bantam Books
0425182908,isle of dogs,patricia cornwell,2002,Berkley Publishing Group
042518630X,purity in death,jd robb,2002,Berkley Publishing Group
0440223571,this year it will be different and other stories,maeve binchy,1997,Dell
0842342702,left behind a novel of the earths last days left behind 1,tim lahaye,2000,Tyndale House Publishers
0440225701,the street lawyer,john grisham,1999,Dell
0060914068,love medicine and miracles,md bernie s siegel,1988,HarperCollins Publishers
0380715899,a soldier of the great war,mark helprin,1992,Avon Books
0671623249,lonesome dove,larry mcmurtry,1986,Pocket
0679810307,shabanu daughter of the wind border trilogy,suzanne fisher staples,1991,Laurel Leaf
0679865691,haveli laurel leaf books,suzanne fisher staples,1995,Laurel Leaf
042511774X,breathing lessons,anne tyler,1994,Berkley Publishing Group
0804106304,the joy luck club,amy tan,1994,Prentice Hall (K-12)
1853260053,tess of the durbervilles wordsworth classics,thomas hardy,1997,NTC/Contemporary Publishing Company
0060938412,the accidental virgin,valerie frankel,2003,Avon Trade
0140067477,the tao of pooh,benjamin hoff,1983,Penguin Books
0345465083,seabiscuit,laura hillenbrand,2003,Ballantine Books
1558531025,lifes little instruction book lifes little instruction books ,h jackson brown,1991,Thomas Nelson
0441783589,starship troopers,robert a heinlein,1987,Ace Books
0394895894,the ruby in the smoke sally lockhart trilogy book 1,philip pullman,1988,Laurel Leaf
0375410538,anils ghost,michael ondaatje,2000,Knopf
087113375X,modern manners an etiquette book for rude people,pj orourke,1990,Atlantic Monthly Press
0340767936,turning thirty,mike gayle,2000,Hodder & Stoughton General Division
0316769487,the catcher in the rye,jd salinger,1991,"Little, Brown"
8445071408,el senor de los anillos la comunidad del anillo lord of the rings spanish,jrr tolkien,2001,Minotauro
8445071769,el senor de los anillos las dos torres lord of the rings ,jrr tolkien,2001,Minotauro
8445071777,el senor de los anillos el retorno del rey tolkien j r r lord of the rings 3,jrr tolkien,2001,Distribooks
0679429220,midnight in the garden of good and evil a savannah story,john berendt,1994,Random House
0671867156,pretend you dont see her,mary higgins clark,1998,Pocket
0312252617,fast women,jennifer crusie,2001,St. Martin's Press
0312261594,female intelligence,jane heller,2001,St. Martin's Press
0316748641,pasquales nose idle days in an italian town,michael rips,2002,Back Bay Books
0446677450,rich dad poor dad what the rich teach their kids about moneythat the poor and middle class do not,robert t kiyosaki,2000,Warner Books
0451166892,the pillars of the earth,ken follett,1996,Signet Book
067976397X,corellis mandolin  a novel,louis de bernieres,1995,Vintage
0786868716,the five people you meet in heaven,mitch albom,2003,Hyperion
0671864769,relics star trek the next generation,michael jan friedman,1992,Star Trek
0312953453,blood oath,david morrell,1994,St. Martin's Press
0446608653,the alibi,sandra brown,2000,Warner Books
0446612545,the beach house,james patterson,2003,Warner Books
0446612618,a kiss remembered,sandra brown,2003,Warner Books
0451208080,the short forever,stuart woods,2003,Signet Book
0553584383,dead aim,iris johansen,2004,Bantam Books
0671027360,angels  demons,dan brown,2001,Pocket Star
0812575954,the deal,joe hutsko,2000,Tor Books (Mm)
0316735736,all he ever wanted a novel,anita shreve,2004,Back Bay Books
0743439740,every breath you take  a true story of obsession revenge and murder,ann rule,2002,Pocket
0380619458,the mosquito coast,paul theroux,1990,Harper Mass Market Paperbacks (Mm)
0671042858,the girl who loved tom gordon,stephen king,2000,Pocket
