Author-Tokens,Average-Rating,Num-Ratings
"['a', 'adams']",8.090909090909092,11
"['a', 'agatston']",8.083333333333334,24
"['a', 'albert']",8.277777777777779,18
"['a', 'allston']",6.6,10
"['a', 'andrews']",8.142857142857142,7
"['a', 'anonymous']",8.714285714285714,7
"['a', 'applemanjurman']",9.0,8
"['a', 'arensberg']",6.7,10
"['a', 'ashley']",7.770833333333333,48
"['a', 'ashworth']",8.166666666666666,12
"['a', 'atwaterrhodes']",7.615384615384615,39
"['a', 'barabasi']",8.25,4
"['a', 'barber']",8.8,10
"['a', 'bardi']",7.714285714285714,7
"['a', 'baricco']",8.217391304347826,92
"['a', 'barrett']",7.857142857142857,28
"['a', 'barrow']",6.5,4
"['a', 'bauman']",6.75,4
"['a', 'beattie']",5.8,5
"['a', 'bell']",6.5,4
"['a', 'bender']",6.888888888888889,9
"['a', 'bennett']",6.666666666666667,15
"['a', 'benson']",7.4375,16
"['a', 'bernstein']",5.75,4
"['a', 'bester']",8.35,20
"['a', 'bierce']",8.142857142857142,7
"['a', 'birnbaum']",8.0,4
"['a', 'bishop']",8.516129032258064,62
"['a', 'blanchard']",7.055555555555555,18
"['a', 'bloch']",8.0,4
"['a', 'bloom']",7.266666666666667,15
"['a', 'boffa']",8.571428571428571,7
"['a', 'borchardt']",7.4,40
"['a', 'borkowsky']",7.285714285714286,7
"['a', 'boukreev']",6.454545454545454,11
"['a', 'bourdain']",7.961038961038961,77
"['a', 'bowling']",8.75,4
"['a', 'boyd']",8.25,4
"['a', 'brashares']",8.238461538461538,130
"['a', 'braybrooks']",8.11111111111111,9
"['a', 'bronte']",7.384615384615385,13
"['a', 'brookner']",7.3,10
"['a', 'brown']",7.642857142857143,14
"['a', 'burgess']",8.38888888888889,36
"['a', 'burroughs']",7.588235294117647,153
"['a', 'byrn']",9.0,4
"['a', 'cairns']",6.833333333333333,6
"['a', 'cameron']",9.375,8
"['a', 'camilleri']",7.5227272727272725,44
"['a', 'camus']",7.866666666666666,135
"['a', 'carpentier']",6.25,4
"['a', 'carroll']",9.5,10
"['a', 'castillo']",6.75,4
"['a', 'charters']",7.75,4
"['a', 'christie']",7.810198300283286,353
"['a', 'clements']",8.217391304347826,23
"['a', 'codrescu']",6.818181818181818,22
"['a', 'coulter']",7.583333333333333,12
"['a', 'craig']",7.5,4
"['a', 'cross']",6.6875,16
"['a', 'cumming']",4.833333333333333,6
"['a', 'dacyczyn']",8.52,25
"['a', 'dalton']",8.4,5
"['a', 'davies']",6.6875,16
"['a', 'davis']",7.40625,32
"['a', 'desarthe']",6.0,4
"['a', 'diamant']",8.113801452784504,413
"['a', 'dillard']",8.366666666666667,30
"['a', 'doerr']",7.0,4
"['a', 'doxiadis']",7.8,5
"['a', 'dumas']",8.233766233766234,77
"['a', 'duperey']",6.25,4
"['a', 'edwardson']",5.25,4
"['a', 'eisenberg']",8.167883211678832,137
"['a', 'elkins']",7.769230769230769,13
"['a', 'ephron']",7.137931034482759,29
"['a', 'epstein']",7.4,5
"['a', 'ernaux']",7.5,4
"['a', 'esakismith']",6.428571428571429,7
"['a', 'faber']",8.538461538461538,13
"['a', 'fadiman']",8.320754716981131,53
"['a', 'feinstein']",7.6,5
"['a', 'fine']",6.75,4
"['a', 'fisher']",7.785714285714286,14
"['a', 'flannigan']",5.4,5
"['a', 'folsom']",7.7272727272727275,44
"['a', 'ford']",7.0,4
"['a', 'foreman']",8.266666666666667,15
"['a', 'fox']",5.8,5
"['a', 'frank']",8.751677852348994,149
"['a', 'franken']",7.965811965811966,117
"['a', 'frasier']",7.653846153846154,26
"['a', 'fuller']",8.205882352941176,34
"['a', 'furst']",7.2,5
"['a', 'fusselman']",7.4,5
"['a', 'gao']",9.25,8
"['a', 'garland']",7.5476190476190474,84
"['a', 'garner']",7.166666666666667,12
"['a', 'garrels']",8.166666666666666,6
"['a', 'gavalda']",7.758620689655173,29
"['a', 'gawande']",8.8,15
"['a', 'geddes']",8.25,4
"['a', 'george']",7.707865168539326,89
"['a', 'ghosh']",7.75,8
"['a', 'giancana']",6.0,4
"['a', 'gide']",7.25,4
"['a', 'giglio']",7.5,4
"['a', 'ginsberg']",8.461538461538462,13
"['a', 'golden']",8.30921052631579,152
"['a', 'goldman']",6.0,4
"['a', 'goliszek']",7.75,4
"['a', 'goodman']",7.545454545454546,11
"['a', 'gopnik']",6.851851851851852,27
"['a', 'gore']",8.333333333333334,6
"['a', 'gottlieb']",7.235294117647059,17
"['a', 'grandes']",9.5,4
"['a', 'gray']",7.266666666666667,30
"['a', 'greeley']",7.5,6
"['a', 'griffiths']",4.8,5
"['a', 'gurganus']",7.4,30
"['a', 'hailey']",7.551724137931035,29
"['a', 'haley']",9.090909090909092,22
"['a', 'halliday']",8.222222222222221,9
"['a', 'harrington']",7.25,8
"['a', 'haslett']",7.583333333333333,12
"['a', 'havill']",6.0,5
"['a', 'heche']",6.888888888888889,9
"['a', 'henry']",7.666666666666667,6
"['a', 'herman']",7.5,4
"['a', 'hoffman']",7.470588235294118,442
"['a', 'hollinghurst']",6.75,8
"['a', 'holt']",8.166666666666666,6
"['a', 'hooper']",8.5,4
"['a', 'hudler']",7.625,8
"['a', 'huffington']",7.5,4
"['a', 'huxley']",7.9391891891891895,148
"['a', 'hyde']",7.5,4
"['a', 'jablokov']",5.0,4
"['a', 'jacob']",4.5,4
"['a', 'jardin']",6.7272727272727275,11
"['a', 'jeffrey']",8.0,5
"['a', 'jenkins']",6.5,4
"['a', 'jones']",7.3,20
"['a', 'kane']",6.857142857142857,14
"['a', 'kaplan']",7.5,6
