Author-Tokens,Average-Rating,Num-Ratings,Cluster
"['a', 'adams']",8.090909090909092,11,0
"['a', 'agatston']",8.083333333333334,24,0
"['a', 'albert']",8.277777777777779,18,0
"['a', 'allston']",6.6,10,0
"['a', 'andrews']",8.142857142857142,7,0
"['a', 'anonymous']",8.714285714285714,7,0
"['a', 'applemanjurman']",9.0,8,0
"['a', 'arensberg']",6.7,10,0
"['a', 'ashley']",7.770833333333333,48,0
"['a', 'ashworth']",8.166666666666666,12,0
"['a', 'atwaterrhodes']",7.615384615384615,39,0
"['a', 'barabasi']",8.25,4,0
"['a', 'barber']",8.8,10,0
"['a', 'bardi']",7.714285714285714,7,0
"['a', 'baricco']",8.217391304347826,92,0
"['a', 'barrett']",7.857142857142857,28,0
"['a', 'barrow']",6.5,4,0
"['a', 'bauman']",6.75,4,0
"['a', 'beattie']",5.8,5,0
"['a', 'bell']",6.5,4,0
"['a', 'bender']",6.888888888888889,9,0
"['a', 'bennett']",6.666666666666667,15,0
"['a', 'benson']",7.4375,16,0
"['a', 'bernstein']",5.75,4,0
"['a', 'bester']",8.35,20,0
"['a', 'bierce']",8.142857142857142,7,0
"['a', 'birnbaum']",8.0,4,0
"['a', 'bishop']",8.516129032258064,62,0
"['a', 'blanchard']",7.055555555555555,18,0
"['a', 'bloch']",8.0,4,0
"['a', 'bloom']",7.266666666666667,15,0
"['a', 'boffa']",8.571428571428571,7,0
"['a', 'borchardt']",7.4,40,0
"['a', 'borkowsky']",7.285714285714286,7,0
"['a', 'boukreev']",6.454545454545454,11,0
"['a', 'bourdain']",7.961038961038961,77,0
"['a', 'bowling']",8.75,4,0
"['a', 'boyd']",8.25,4,0
"['a', 'brashares']",8.238461538461538,130,0
"['a', 'braybrooks']",8.11111111111111,9,0
"['a', 'bronte']",7.384615384615385,13,0
"['a', 'brookner']",7.3,10,0
"['a', 'brown']",7.642857142857143,14,0
"['a', 'burgess']",8.38888888888889,36,0
"['a', 'burroughs']",7.588235294117647,153,0
"['a', 'byrn']",9.0,4,0
"['a', 'cairns']",6.833333333333333,6,0
"['a', 'cameron']",9.375,8,0
"['a', 'camilleri']",7.5227272727272725,44,0
"['a', 'camus']",7.866666666666666,135,0
"['a', 'carpentier']",6.25,4,0
"['a', 'carroll']",9.5,10,0
"['a', 'castillo']",6.75,4,0
"['a', 'charters']",7.75,4,0
"['a', 'christie']",7.810198300283286,353,1
"['a', 'clements']",8.217391304347826,23,0
"['a', 'codrescu']",6.818181818181818,22,0
"['a', 'coulter']",7.583333333333333,12,0
"['a', 'craig']",7.5,4,0
"['a', 'cross']",6.6875,16,0
"['a', 'cumming']",4.833333333333333,6,0
"['a', 'dacyczyn']",8.52,25,0
"['a', 'dalton']",8.4,5,0
"['a', 'davies']",6.6875,16,0
"['a', 'davis']",7.40625,32,0
"['a', 'desarthe']",6.0,4,0
"['a', 'diamant']",8.113801452784504,413,1
"['a', 'dillard']",8.366666666666667,30,0
"['a', 'doerr']",7.0,4,0
"['a', 'doxiadis']",7.8,5,0
"['a', 'dumas']",8.233766233766234,77,0
"['a', 'duperey']",6.25,4,0
"['a', 'edwardson']",5.25,4,0
"['a', 'eisenberg']",8.167883211678832,137,0
"['a', 'elkins']",7.769230769230769,13,0
"['a', 'ephron']",7.137931034482759,29,0
"['a', 'epstein']",7.4,5,0
"['a', 'ernaux']",7.5,4,0
"['a', 'esakismith']",6.428571428571429,7,0
"['a', 'faber']",8.538461538461538,13,0
"['a', 'fadiman']",8.320754716981131,53,0
"['a', 'feinstein']",7.6,5,0
"['a', 'fine']",6.75,4,0
"['a', 'fisher']",7.785714285714286,14,0
"['a', 'flannigan']",5.4,5,0
"['a', 'folsom']",7.7272727272727275,44,0
"['a', 'ford']",7.0,4,0
"['a', 'foreman']",8.266666666666667,15,0
"['a', 'fox']",5.8,5,0
"['a', 'frank']",8.751677852348994,149,0
"['a', 'franken']",7.965811965811966,117,0
"['a', 'frasier']",7.653846153846154,26,0
"['a', 'fuller']",8.205882352941176,34,0
"['a', 'furst']",7.2,5,0
"['a', 'fusselman']",7.4,5,0
"['a', 'gao']",9.25,8,0
"['a', 'garland']",7.5476190476190474,84,0
"['a', 'garner']",7.166666666666667,12,0
"['a', 'garrels']",8.166666666666666,6,0
"['a', 'gavalda']",7.758620689655173,29,0
"['a', 'gawande']",8.8,15,0
"['a', 'geddes']",8.25,4,0
"['a', 'george']",7.707865168539326,89,0
"['a', 'ghosh']",7.75,8,0
"['a', 'giancana']",6.0,4,0
"['a', 'gide']",7.25,4,0
"['a', 'giglio']",7.5,4,0
"['a', 'ginsberg']",8.461538461538462,13,0
"['a', 'golden']",8.30921052631579,152,0
"['a', 'goldman']",6.0,4,0
"['a', 'goliszek']",7.75,4,0
"['a', 'goodman']",7.545454545454546,11,0
"['a', 'gopnik']",6.851851851851852,27,0
"['a', 'gore']",8.333333333333334,6,0
"['a', 'gottlieb']",7.235294117647059,17,0
"['a', 'grandes']",9.5,4,0
"['a', 'gray']",7.266666666666667,30,0
"['a', 'greeley']",7.5,6,0
"['a', 'griffiths']",4.8,5,0
"['a', 'gurganus']",7.4,30,0
"['a', 'hailey']",7.551724137931035,29,0
"['a', 'haley']",9.090909090909092,22,0
"['a', 'halliday']",8.222222222222221,9,0
"['a', 'harrington']",7.25,8,0
"['a', 'haslett']",7.583333333333333,12,0
"['a', 'havill']",6.0,5,0
"['a', 'heche']",6.888888888888889,9,0
"['a', 'henry']",7.666666666666667,6,0
"['a', 'herman']",7.5,4,0
"['a', 'hoffman']",7.470588235294118,442,1
"['a', 'hollinghurst']",6.75,8,0
"['a', 'holt']",8.166666666666666,6,0
"['a', 'hooper']",8.5,4,0
"['a', 'hudler']",7.625,8,0
"['a', 'huffington']",7.5,4,0
"['a', 'huxley']",7.9391891891891895,148,0
"['a', 'hyde']",7.5,4,0
"['a', 'jablokov']",5.0,4,0
"['a', 'jacob']",4.5,4,0
"['a', 'jardin']",6.7272727272727275,11,0
"['a', 'jeffrey']",8.0,5,0
"['a', 'jenkins']",6.5,4,0
"['a', 'jones']",7.3,20,0
"['a', 'kane']",6.857142857142857,14,0
"['a', 'kaplan']",7.5,6,0
"['a', 'kava']",7.555555555555555,54,0
"['a', 'kent']",8.0,11,0
"['a', 'kimberly']",9.0,4,0
"['a', 'klavan']",7.526315789473684,19,0
"['a', 'koestler']",8.0,8,0
"['a', 'kotlowitz']",8.3,10,0
"['a', 'kurkow']",8.333333333333334,6,0
"['a', 'kurzweil']",6.833333333333333,12,0
"['a', 'kwitney']",7.866666666666666,15,0
"['a', 'lamott']",7.712643678160919,174,0
"['a', 'lang']",4.92,25,0
"['a', 'lansing']",8.466666666666667,15,0
"['a', 'lapierre']",7.8,5,0
"['a', 'leonowens']",5.75,4,0
"['a', 'leopold']",8.222222222222221,18,0
"['a', 'lightman']",7.7164179104477615,67,0
"['a', 'lindgren']",8.375,8,0
"['a', 'lobel']",7.8,10,0
"['a', 'lollar']",9.5,4,0
"['a', 'lorde']",7.333333333333333,9,0
"['a', 'lurie']",7.222222222222222,9,0
"['a', 'macdonald']",7.67816091954023,174,0
"['a', 'macfarlane']",7.25,4,0
"['a', 'machado']",7.75,4,0
"['a', 'maclean']",7.0,4,0
"['a', 'macleod']",8.333333333333334,9,0
"['a', 'major']",6.555555555555555,9,0
"['a', 'makine']",6.8,5,0
"['a', 'mandelbaum']",6.25,8,0
"['a', 'mangels']",6.666666666666667,6,0
"['a', 'mark']",6.125,8,0
"['a', 'marshall']",8.4,5,0
"['a', 'martin']",8.6,5,0
"['a', 'matthews']",7.75,4,0
"['a', 'mattison']",6.366666666666666,30,0
"['a', 'maupin']",8.13076923076923,130,0
"['a', 'maxted']",7.298245614035087,57,0
"['a', 'mazer']",7.857142857142857,7,0
"['a', 'mcallister']",8.5,4,0
"['a', 'mccaffrey']",8.032622333751569,797,1
"['a', 'mcconnell']",8.25,4,0
"['a', 'mcdermott']",7.022222222222222,90,0
"['a', 'mcghee']",7.5,14,0
"['a', 'mcnab']",6.764705882352941,17,0
"['a', 'menendez']",6.4,5,0
"['a', 'meyers']",5.75,4,0
"['a', 'michaels']",8.11111111111111,18,0
"['a', 'milani']",8.0,7,0
"['a', 'miller']",7.266666666666667,60,0
"['a', 'mills']",8.25,4,0
"['a', 'min']",7.6923076923076925,26,0
"['a', 'moody']",8.625,8,0
"['a', 'moore']",8.205882352941176,34,0
"['a', 'morton']",7.8,15,0
"['a', 'munro']",7.296296296296297,27,0
"['a', 'nafisi']",8.166666666666666,42,0
"['a', 'naparstek']",7.857142857142857,7,0
"['a', 'nersesian']",7.461538461538462,13,0
"['a', 'niffenegger']",8.735632183908047,87,0
"['a', 'nin']",8.028571428571428,35,0
"['a', 'nissel']",8.117647058823529,17,0
"['a', 'norton']",7.735849056603773,53,0
"['a', 'nosaka']",8.555555555555555,9,0
"['a', 'nothomb']",7.857142857142857,63,0
"['a', 'oblong']",8.142857142857142,7,0
"['a', 'okamoto']",6.5,4,0
"['a', 'oneill']",8.5,4,0
"['a', 'paasilinna']",7.4,5,0
"['a', 'packer']",7.568627450980392,102,0
"['a', 'papa']",7.277777777777778,18,0
"['a', 'patchett']",7.951219512195122,246,0
"['a', 'paton']",8.538461538461538,39,0
"['a', 'pavord']",6.5,4,0
"['a', 'pearson']",7.591836734693878,49,0
"['a', 'pedrazaz']",6.75,4,0
"['a', 'perezreverte']",7.658914728682171,129,0
"['a', 'perry']",7.501483679525222,337,1
"['a', 'phillips']",6.545454545454546,22,0
"['a', 'pirincci']",7.576923076923077,26,0
"['a', 'proulx']",7.519230769230769,312,1
"['a', 'pyper']",6.111111111111111,18,0
"['a', 'quick']",7.724137931034483,174,0
"['a', 'quindlen']",7.641558441558441,385,1
"['a', 'raife']",7.111111111111111,9,0
"['a', 'rampling']",6.6923076923076925,13,0
"['a', 'rand']",8.405405405405405,185,0
"['a', 'randall']",6.956521739130435,23,0
"['a', 'ransome']",7.75,4,0
"['a', 'rashid']",7.428571428571429,7,0
"['a', 'reynolds']",6.8,5,0
"['a', 'rhoney']",8.25,4,0
"['a', 'rice']",7.5,1504,1
"['a', 'rich']",7.375,8,0
"['a', 'riley']",8.384615384615385,13,0
"['a', 'rinaldi']",7.363636363636363,22,0
"['a', 'ripley']",6.77027027027027,74,0
"['a', 'robbins']",7.230769230769231,13,0
"['a', 'roker']",7.5,4,0
"['a', 'rooney']",6.6,5,0
"['a', 'roy']",7.597014925373134,134,0
"['a', 'rule']",7.752659574468085,376,1
"['a', 'ryan']",7.666666666666667,6,0
"['a', 'salas']",7.714285714285714,7,0
"['a', 'sarrantonio']",6.5,4,0
"['a', 'schulman']",7.75,4,0
"['a', 'schumacher']",7.75,4,0
"['a', 'schwartz']",8.185185185185185,27,0
"['a', 'sebold']",8.195899772209566,878,1
"['a', 'seigel']",7.5,4,0
"['a', 'sellers']",7.5,4,0
"['a', 'sewell']",8.6,20,0
"['a', 'seymour']",6.75,4,0
"['a', 'sharma']",7.25,4,0
"['a', 'shreve']",7.5198744769874475,956,1
"['a', 'simon']",8.0,5,0
"['a', 'sinclair']",7.25,12,0
"['a', 'skarmeta']",6.75,4,0
"['a', 'smith']",6.133333333333334,30,0
"['a', 'sohn']",6.333333333333333,12,0
"['a', 'solomon']",6.333333333333333,9,0
"['a', 'solzhenitsyn']",8.105263157894736,19,0
"['a', 'soueif']",6.739130434782608,23,0
"['a', 'spiegelman']",9.25,24,0
"['a', 'starwoman']",7.0,5,0
"['a', 'steinbach']",7.636363636363637,22,0
"['a', 'stevens']",9.11111111111111,9,0
"['a', 'stockenberg']",7.0,7,0
"['a', 'stuart']",7.882352941176471,17,0
"['a', 'swofford']",7.4,10,0
"['a', 'tan']",8.06031746031746,630,1
"['a', 'thomas']",8.153846153846153,13,0
"['a', 'titchmarsh']",7.555555555555555,9,0
"['a', 'treasures']",8.307692307692308,13,0
"['a', 'trigiana']",7.142857142857143,7,0
"['a', 'trigiani']",7.6231884057971016,207,0
"['a', 'tyler']",7.403960396039604,505,1
"['a', 'ursu']",7.0,10,0
"['a', 'vachss']",7.4,5,0
"['a', 'valdesrodriguez']",7.4,15,0
"['a', 'verghese']",8.333333333333334,6,0
"['a', 'waldman']",7.409090909090909,22,0
"['a', 'waldron']",6.2,5,0
"['a', 'walker']",8.219931271477662,291,1
"['a', 'warhol']",8.5,6,0
"['a', 'warner']",8.0,4,0
"['a', 'waters']",7.0,4,0
"['a', 'watson']",8.25,4,0
"['a', 'watts']",8.6,10,0
"['a', 'weil']",7.95,20,0
"['a', 'weir']",7.702702702702703,37,0
"['a', 'wilentz']",8.25,4,0
"['a', 'wilson']",7.0,5,0
"['a', 'witchel']",6.333333333333333,6,0
"['a', 'wood']",9.1,10,0
"['a', 'yazawa']",9.25,4,0
"['a', 'yezierska']",8.8,5,0
"['a', 'zobel']",6.5,4,0
"['aa', 'attanasio']",7.25,4,0
"['aa', 'milne']",8.058823529411764,34,0
"['ab', 'facey']",8.4,5,0
"['ab', 'ross']",7.739583333333333,96,0
"['ab', 'shafran']",7.5,4,0
"['ac', 'clarke']",7.8994708994708995,189,0
"['ac', 'crispin']",7.384615384615385,13,0
"['ac', 'doyle']",8.705882352941176,34,0
"['ac', 'klause']",8.1,20,0
"['ac', 'parfitt']",5.5,4,0
"['acbspe', 'al']",7.777777777777778,9,0
"['ach', 'smith']",6.4,5,0
"['acs', 'doyle']",8.464285714285714,28,0
"['ad', 'aczel']",6.25,4,0
"['ad', 'botton']",8.0,18,0
"['ad', 'carlo']",7.75,20,0
"['ad', 'foster']",7.32258064516129,62,0
"['ad', 'iii']",7.407725321888412,233,0
"['ad', 'leclaire']",8.0,11,0
"['ad', 'mello']",8.75,4,0
"['ad', 'saint']",9.25,4,0
"['ad', 'saintexupery']",8.88888888888889,27,0
['adams'],9.2,10,0
"['ae', 'hunt']",7.818181818181818,11,0
"['ae', 'lindgren']",8.25,12,0
"['ae', 'ward']",8.666666666666666,9,0
"['aew', 'mason']",8.75,4,0
"['afd', 'salny']",7.25,4,0
"['ag', 'forrester']",7.0,4,0
"['ag', 'slade']",8.4,5,0
"['ah', 'cohen']",9.0,5,0
"['ah', 'vachss']",7.75,4,0
"['ai', 'dubus']",8.222222222222221,9,0
"['aj', 'chai']",8.0,8,0
"['aj', 'davidson']",7.666666666666667,9,0
"['aj', 'holt']",7.444444444444445,9,0
"['aj', 'jones']",7.958333333333333,24,0
"['ak', 'shulman']",8.0,4,0
"['ak', 'stone']",7.25,4,0
"['al', 'alexander']",7.2,5,0
"['al', 'gittleman']",7.75,4,0
"['al', 'mcginnis']",6.2,5,0
"['al', 'waldo']",7.769230769230769,13,0
"['al', 'wilson']",7.714285714285714,7,0
['alainfournier'],7.0,9,0
"['am', 'ansay']",6.590909090909091,132,0
"['am', 'beanland']",7.5,4,0
"['am', 'dershowitz']",6.6,5,0
"['am', 'duquette']",9.0,4,0
"['am', 'greeley']",6.564814814814815,108,0
"['am', 'homes']",6.428571428571429,14,0
"['am', 'lindbergh']",8.155555555555555,45,0
"['am', 'martin']",7.441860465116279,43,0
"['am', 'menchen']",6.0,4,0
"['am', 'publishing']",9.166666666666666,6,0
"['am', 'smith']",8.245,400,1
"['am', 'steele']",7.75,4,0
"['am', 'weil']",8.125,8,0
